"CVE","CWE","Description","Weakness_Description"
"CVE-2005-4860","CWE-327","Spectrum Cash Receipting System before 6.504 uses weak cryptography (static substitution) in the PASSFILE password file, which makes it easier for local users to gain privileges by decrypting a password.","Product substitutes characters with other characters in a fixed way, and also leaves certain input characters unchanged."
"CVE-2002-2058","CWE-327","TeeKai Tracking Online 1.0 uses weak encryption of web usage statistics in data/userlog/log.txt, which allows remote attackers to identify IP's visiting the site by dividing each octet by the MD5 hash of '20'.","Attackers can infer private IP addresses by dividing each octet by the MD5 hash of '20'."
"CVE-2008-3188","CWE-327","libxcrypt in SUSE openSUSE 11.0 uses the DES algorithm when the configuration specifies the MD5 algorithm, which makes it easier for attackers to conduct brute-force attacks against hashed passwords.","Product uses DES when MD5 has been specified in the configuration, resulting in weaker-than-expected password hashes."
"CVE-2005-2946","CWE-327","The default configuration on OpenSSL before 0.9.8 uses MD5 for creating message digests instead of a more cryptographically strong algorithm, which makes it easier for remote attackers to forge certificates with a valid certificate authority signature.","Default configuration of product uses MD5 instead of stronger algorithms that are available, simplifying forgery of certificates."
"CVE-2007-6013","CWE-327","Wordpress 1.5 through 2.3.1 uses cookie values based on the MD5 hash of a password MD5 hash, which allows attackers to bypass authentication by obtaining the MD5 hash from the user database, then generating the authentication cookie from that hash.","Product uses the hash of a hash for authentication, allowing attackers to gain privileges if they can obtain the original hash."
"CVE-2022-30320","CWE-328","Saia Burgess Controls (SBC) PCD through 2022-05-06 uses a Broken or Risky Cryptographic Algorithm. According to FSCT-2022-0063, there is a Saia Burgess Controls (SBC) PCD S-Bus weak credential hashing scheme issue. The affected components are characterized as: S-Bus (5050/UDP) authentication. The potential impact is: Authentication bypass. The Saia Burgess Controls (SBC) PCD controllers utilize the S-Bus protocol (5050/UDP) for a variety of engineering purposes. It is possible to configure a password in order to restrict access to sensitive engineering functionality. Authentication is done by using the S-Bus 'write byte' message to a specific address and supplying a hashed version of the password. The hashing algorithm used is based on CRC-16 and as such not cryptographically secure. An insecure hashing algorithm is used. An attacker capable of passively observing traffic can intercept the hashed credentials and trivially find collisions allowing for authentication without having to bruteforce a keyspace defined by the actual strength of the password. This allows the attacker access to sensitive engineering functionality such as uploading/downloading control logic and manipulating controller configuration.","Programmable Logic Controller (PLC) uses a protocol with a cryptographically insecure hashing algorithm for passwords."
"CVE-2005-4900","CWE-328","SHA-1 is not collision resistant, which makes it easier for context-dependent attackers to conduct spoofing attacks, as demonstrated by attacks on the use of SHA-1 in TLS 1.2.  NOTE: this CVE exists to provide a common identifier for referencing this SHA-1 issue; the existence of an identifier is not, by itself, a technology recommendation.","SHA-1 algorithm is not collision-resistant."
"CVE-2020-25685","CWE-328","A flaw was found in dnsmasq before version 2.83. When getting a reply from a forwarded query, dnsmasq checks in forward.c:reply_query(), which is the forwarded query that matches the reply, by only using a weak hash of the query name. Due to the weak hash (CRC32 when dnsmasq is compiled without DNSSEC, SHA-1 when it is) this flaw allows an off-path attacker to find several different domains all having the same hash, substantially reducing the number of attempts they would have to perform to forge a reply and get it accepted by dnsmasq. This is in contrast with RFC5452, which specifies that the query name is one of the attributes of a query that must be used to match a reply. This flaw could be abused to perform a DNS Cache Poisoning attack. If chained with CVE-2020-25684 the attack complexity of a successful attack is reduced. The highest threat from this vulnerability is to data integrity.","DNS product uses a weak hash (CRC32 or SHA-1) of the query name, allowing attacker to forge responses by computing domain names with the same hash."
"CVE-2012-6707","CWE-328","WordPress through 4.8.2 uses a weak MD5-based password hashing algorithm, which makes it easier for attackers to determine cleartext values by leveraging access to the hash values. NOTE: the approach to changing this may not be fully compatible with certain use cases, such as migration of a WordPress site from a web host that uses a recent PHP version to a different web host that uses PHP 5.2. These use cases are plausible (but very unlikely) based on statistics showing widespread deployment of WordPress with obsolete PHP versions.","blogging product uses MD5-based algorithm for passwords."
"CVE-2019-14855","CWE-328","A flaw was found in the way certificate signatures could be forged using collisions found in the SHA-1 algorithm. An attacker could use this weakness to create forged certificate signatures. This issue affects GnuPG versions before 2.2.18.","forging of certificate signatures using SHA-1 collisions."
"CVE-2017-15999","CWE-328","In the ""NQ Contacts Backup & Restore"" application 1.1 for Android, no HTTPS is used for transmitting login and synced user data. When logging in, the username is transmitted in cleartext along with an SHA-1 hash of the password. The attacker can either crack this hash or use it for further attacks where only the hash value is required.","mobile app for backup sends SHA-1 hash of password in cleartext."
"CVE-2006-4068","CWE-328","The pswd.js script relies on the client to calculate whether a username and password match hard-coded hashed values for a server, and uses a hashing scheme that creates a large number of collisions, which makes it easier for remote attackers to conduct offline brute force attacks.  NOTE: this script might also allow attackers to generate the server-side ""secret"" URL without determining the original password, but this possibility was not discussed by the original researcher.","Hard-coded hashed values for username and password contained in client-side script, allowing brute-force offline attacks."
"CVE-2020-5408","CWE-329","Spring Security versions 5.3.x prior to 5.3.2, 5.2.x prior to 5.2.4, 5.1.x prior to 5.1.10, 5.0.x prior to 5.0.16 and 4.2.x prior to 4.2.16 use a fixed null initialization vector with CBC Mode in the implementation of the queryable text encryptor. A malicious user with access to the data that has been encrypted using such an encryptor may be able to derive the unencrypted values using a dictionary attack.","encryption functionality in an authentication framework uses a fixed null IV with CBC mode, allowing attackers to decrypt traffic in applications that use this functionality"
"CVE-2017-17704","CWE-329","A door-unlocking issue was discovered on Software House iStar Ultra devices through 6.5.2.20569 when used in conjunction with the IP-ACM Ethernet Door Module. The communications between the IP-ACM and the iStar Ultra is encrypted using a fixed AES key and IV. Each message is encrypted in CBC mode and restarts with the fixed IV, leading to replay attacks of entire messages. There is no authentication of messages beyond the use of the fixed AES key, so message forgery is also possible.","messages for a door-unlocking product use a fixed IV in CBC mode, which is the same after each restart"
"CVE-2017-11133","CWE-329","An issue was discovered in heinekingmedia StashCat through 1.7.5 for Android, through 0.0.80w for Web, and through 0.0.86 for Desktop. To encrypt messages, AES in CBC mode is used with a pseudo-random secret. This secret and the IV are generated with math.random() in previous versions and with CryptoJS.lib.WordArray.random() in newer versions, which uses math.random() internally. This is not cryptographically strong.","application uses AES in CBC mode, but the pseudo-random secret and IV are generated using math.random, which is not cryptographically strong."
"CVE-2007-3528","CWE-329","The blowfish mode in DAR before 2.3.4 uses weak Blowfish-CBC cryptography by (1) discarding random bits by the blowfish::make_ivec function in libdar/crypto.cpp that results in predictable and repeating IV values, and (2) direct use of a password for keying, which makes it easier for context-dependent attackers to decrypt files.","Blowfish-CBC implementation constructs an IV where each byte is calculated modulo 8 instead of modulo 256, resulting in less than 12 bits for the effective IV length, and less than 4096 possible IV values."
"CVE-2011-3389","CWE-329","The SSL protocol, as used in certain configurations in Microsoft Windows and Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, Opera, and other products, encrypts data by using CBC mode with chained initialization vectors, which allows man-in-the-middle attackers to obtain plaintext HTTP headers via a blockwise chosen-boundary attack (BCBA) on an HTTPS session, in conjunction with JavaScript code that uses (1) the HTML5 WebSocket API, (2) the Java URLConnection API, or (3) the Silverlight WebClient API, aka a ""BEAST"" attack.","BEAST attack in SSL 3.0 / TLS 1.0. In CBC mode, chained initialization vectors are non-random, allowing decryption of HTTPS traffic using a chosen plaintext attack."
"CVE-2000-0240","CWE-33","vqSoft vqServer program allows remote attackers to read arbitrary files via a /........../ in the URL, a variation of a .. (dot dot) attack.","read files via ""/........../"" in URL"
"CVE-2000-0773","CWE-33","Bajie HTTP web server 0.30a allows remote attackers to read arbitrary files via a URL that contains a ""...."", a variant of the dot dot directory traversal attack.","read files via ""...."" in web server"
"CVE-1999-1082","CWE-33","Directory traversal vulnerability in Jana proxy web server 1.40 allows remote attackers to ready arbitrary files via a ""......"" (modified dot dot) attack.","read files via ""......"" in web server (doubled triple dot?)"
"CVE-2004-2121","CWE-33","Multiple directory traversal vulnerabilities in Borland Web Server (BWS) 1.0b3 and earlier allow remote attackers to read and download arbitrary files via (1) multi-dot ""......"" sequences, or (2) ""%5c%2e%2e"" (encoded ""\\.."") sequences, in the URL.","read files via ""......"" in web server (doubled triple dot?)"
"CVE-2001-0491","CWE-33","Directory traversal vulnerability in RaidenFTPD Server 2.1 before build 952 allows attackers to access files outside the ftp root via dot dot attacks, such as (1) .... in CWD, (2) .. in NLST, or (3) ... in NLST.","multiple attacks using "".."", ""..."", and ""...."" in different commands"
"CVE-2001-0615","CWE-33","Directory traversal vulnerability in Faust Informatics Freestyle Chat server prior to 4.1 SR3 allows a remote attacker to read arbitrary files via a specially crafted URL which includes variations of a '..' (dot dot) attack such as '...' or '....'.","""..."" or ""...."" in chat server"
"CVE-2021-3692","CWE-330","yii2 is vulnerable to Use of Predictable Algorithm in Random Number Generator","PHP framework uses mt_rand() function (Marsenne Twister) when generating tokens"
"CVE-2020-7010","CWE-330","Elastic Cloud on Kubernetes (ECK) versions prior to 1.1.0 generate passwords using a weak random number generator. If an attacker is able to determine when the current Elastic Stack cluster was deployed they may be able to more easily brute force the Elasticsearch credentials generated by ECK.","Cloud application on Kubernetes generates passwords using a weak random number generator based on deployment time."
"CVE-2009-3278","CWE-330","The QNAP TS-239 Pro and TS-639 Pro with firmware 2.1.7 0613, 3.1.0 0627, and 3.1.1 0815 use the rand library function to generate a certain recovery key, which makes it easier for local users to determine this key via a brute-force attack.","Crypto product uses rand() library function to generate a recovery key, making it easier to conduct brute force attacks."
"CVE-2009-3238","CWE-330","The get_random_int function in drivers/char/random.c in the Linux kernel before 2.6.30 produces insufficiently random numbers, which allows attackers to predict the return value, and possibly defeat protection mechanisms based on randomization, via vectors that leverage the function's tendency to ""return the same value over and over again for long stretches of time.""","Random number generator can repeatedly generate the same value."
"CVE-2009-2367","CWE-330","cgi-bin/makecgi-pro in Iomega StorCenter Pro generates predictable session IDs, which allows remote attackers to hijack active sessions and gain privileges via brute force guessing attacks on the session_id parameter.","Web application generates predictable session IDs, allowing session hijacking."
"CVE-2009-2158","CWE-330","account-recover.php in TorrentTrader Classic 1.09 chooses random passwords from an insufficiently large set, which makes it easier for remote attackers to obtain a password via a brute-force attack.","Password recovery utility generates a relatively small number of random passwords, simplifying brute force attacks."
"CVE-2009-0255","CWE-330","The System extension Install tool in TYPO3 4.0.0 through 4.0.9, 4.1.0 through 4.1.7, and 4.2.0 through 4.2.3 creates the encryption key with an insufficiently random seed, which makes it easier for attackers to crack the key.","Cryptographic key created with a seed based on the system time."
"CVE-2008-5162","CWE-330","The arc4random function in the kernel in FreeBSD 6.3 through 7.1 does not have a proper entropy source for a short time period immediately after boot, which makes it easier for attackers to predict the function's return values and conduct certain attacks against the GEOM framework and various network protocols, related to the Yarrow random number generator.","Kernel function does not have a good entropy source just after boot."
"CVE-2008-4905","CWE-330","Typo 5.1.3 and earlier uses a hard-coded salt for calculating password hashes, which makes it easier for attackers to guess passwords via a brute force attack.","Blogging software uses a hard-coded salt when calculating a password hash."
"CVE-2008-4929","CWE-330","MyBB (aka MyBulletinBoard) 1.4.2 uses insufficient randomness to compose filenames of uploaded files used as attachments, which makes it easier for remote attackers to read these files by guessing filenames.","Bulletin board application uses insufficiently random names for uploaded files, allowing other users to access private files."
"CVE-2008-3612","CWE-330","The Networking subsystem in Apple iPod touch 2.0 through 2.0.2, and iPhone 2.0 through 2.0.2, uses predictable TCP initial sequence numbers, which allows remote attackers to spoof or hijack a TCP connection.","Handheld device uses predictable TCP sequence numbers, allowing spoofing or hijacking of TCP connections."
"CVE-2008-2433","CWE-330","The web management console in Trend Micro OfficeScan 7.0 through 8.0, Worry-Free Business Security 5.0, and Client/Server/Messaging Suite 3.5 and 3.6 creates a random session token based only on the login time, which makes it easier for remote attackers to hijack sessions via brute-force attacks.  NOTE: this can be leveraged for code execution through an unspecified ""manipulation of the configuration.""","Web management console generates session IDs based on the login time, making it easier to conduct session hijacking."
"CVE-2008-0166","CWE-330","OpenSSL 0.9.8c-1 up to versions before 0.9.8g-9 on Debian-based operating systems uses a random number generator that generates predictable numbers, which makes it easier for remote attackers to conduct brute force guessing attacks against cryptographic keys.","SSL library uses a weak random number generator that only generates 65,536 unique keys."
"CVE-2008-2108","CWE-330","The GENERATE_SEED macro in PHP 4.x before 4.4.8 and 5.x before 5.2.5, when running on 64-bit systems, performs a multiplication that generates a portion of zero bits during conversion due to insufficient precision, which produces 24 bits of entropy and simplifies brute force attacks against protection mechanisms that use the rand and mt_rand functions.","Chain: insufficient precision causes extra zero bits to be assigned, reducing entropy for an API function that generates random numbers."
"CVE-2008-2108","CWE-330","The GENERATE_SEED macro in PHP 4.x before 4.4.8 and 5.x before 5.2.5, when running on 64-bit systems, performs a multiplication that generates a portion of zero bits during conversion due to insufficient precision, which produces 24 bits of entropy and simplifies brute force attacks against protection mechanisms that use the rand and mt_rand functions.","Chain: insufficient precision (CWE-1339) in random-number generator causes some zero bits to be reliably generated, reducing the amount of entropy (CWE-331)"
"CVE-2008-2020","CWE-330","The CAPTCHA implementation as used in (1) Francisco Burzi PHP-Nuke 7.0 and 8.1, (2) my123tkShop e-Commerce-Suite (aka 123tkShop) 0.9.1, (3) phpMyBitTorrent 1.2.2, (4) TorrentFlux 2.3, (5) e107 0.7.11, (6) WebZE 0.5.9, (7) Open Media Collectors Database (aka OpenDb) 1.5.0b4, and (8) Labgab 1.1 uses a code_bg.jpg background image and the PHP ImageString function in a way that produces an insufficient number of different images, which allows remote attackers to pass the CAPTCHA test via an automated attack using a table of all possible image checksums and their corresponding digit strings.","CAPTCHA implementation does not produce enough different images, allowing bypass using a database of all possible checksums."
"CVE-2008-0087","CWE-330","The DNS client in Microsoft Windows 2000 SP4, XP SP2, Server 2003 SP1 and SP2, and Vista uses predictable DNS transaction IDs, which allows remote attackers to spoof DNS responses.","DNS client uses predictable DNS transaction IDs, allowing DNS spoofing."
"CVE-2008-0141","CWE-330","actions.php in WebPortal CMS 0.6-beta generates predictable passwords containing only the time of day, which makes it easier for remote attackers to obtain access to any account via a lostpass action.","Application generates passwords that are based on the time of day."
"CVE-2001-0950","CWE-331","ValiCert Enterprise Validation Authority (EVA) Administration Server 3.3 through 4.2.1 uses insufficiently random data to (1) generate session tokens for HSMs using the C rand function, or (2) generate certificates or keys using /dev/urandom instead of another source which blocks when the entropy pool is low, which could make it easier for local or remote attackers to steal tokens or certificates via brute force guessing.","Insufficiently random data used to generate session tokens using C rand(). Also, for certificate/key generation, uses a source that does not block when entropy is low."
"CVE-2008-2108","CWE-331","The GENERATE_SEED macro in PHP 4.x before 4.4.8 and 5.x before 5.2.5, when running on 64-bit systems, performs a multiplication that generates a portion of zero bits during conversion due to insufficient precision, which produces 24 bits of entropy and simplifies brute force attacks against protection mechanisms that use the rand and mt_rand functions.","Chain: insufficient precision (CWE-1339) in random-number generator causes some zero bits to be reliably generated, reducing the amount of entropy (CWE-331)"
"[REF-1374]","CWE-332","","Chain: JavaScript-based cryptocurrency library can fall back to the insecure Math.random() function instead of reporting a failure (CWE-392), thus reducing the entropy (CWE-332) and leading to generation of non-unique cryptographic keys for Bitcoin wallets (CWE-1391)"
"CVE-2019-1715","CWE-332","A vulnerability in the Deterministic Random Bit Generator (DRBG), also known as Pseudorandom Number Generator (PRNG), used in Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated, remote attacker to cause a cryptographic collision, enabling the attacker to discover the private key of an affected device. The vulnerability is due to insufficient entropy in the DRBG when generating cryptographic keys. An attacker could exploit this vulnerability by generating a large number of cryptographic keys on an affected device and looking for collisions with target devices. A successful exploit could allow the attacker to impersonate an affected target device or to decrypt traffic secured by an affected key that is sent to or from an affected target device.","security product has insufficient entropy in the DRBG, allowing collisions and private key discovery"
"CVE-2002-0583","CWE-334","WorkforceROI Xpede 4.1 uses a small random namespace (5 alphanumeric characters) for temporary expense claim reports in the /reports/temp directory, which allows remote attackers to read the reports via a brute force attack.","Product uses 5 alphanumeric characters for filenames of expense claim reports, stored under web root."
"CVE-2002-0903","CWE-334","register.php for WoltLab Burning Board (wbboard) 1.1.1 uses a small number of random values for the ""code"" parameter that is provided to action.php to approve a new registration, along with predictable new user ID's, which allows remote attackers to hijack new user accounts via a brute force attack on the new user ID and the code value.","Product uses small number of random numbers for a code to approve an action, and also uses predictable new user IDs, allowing attackers to hijack new accounts."
"CVE-2003-1230","CWE-334","The implementation of SYN cookies (syncookies) in FreeBSD 4.5 through 5.0-RELEASE-p3 uses only 32-bit internal keys when generating syncookies, which makes it easier for remote attackers to conduct brute force ISN guessing attacks and spoof legitimate traffic.","SYN cookies implementation only uses 32-bit keys, making it easier to brute force ISN."
"CVE-2004-0230","CWE-334","TCP, when using a large Window Size, makes it easier for remote attackers to guess sequence numbers and cause a denial of service (connection loss) to persistent TCP connections by repeatedly injecting a TCP RST packet, especially in protocols that use long-lived connections, such as BGP.","Complex predictability / randomness (reduced space)."
"CVE-2020-7010","CWE-335","Elastic Cloud on Kubernetes (ECK) versions prior to 1.1.0 generate passwords using a weak random number generator. If an attacker is able to determine when the current Elastic Stack cluster was deployed they may be able to more easily brute force the Elasticsearch credentials generated by ECK.","Cloud application on Kubernetes generates passwords using a weak random number generator based on deployment time."
"CVE-2019-11495","CWE-335","In Couchbase Server 5.1.1, the cookie used for intra-node communication was not generated securely. Couchbase Server uses erlang:now() to seed the PRNG which results in a small search space for potential random seeds that could then be used to brute force the cookie and execute code against a remote system. This has been fixed in version 6.0.0.","server uses erlang:now() to seed the PRNG, which results in a small search space for potential random seeds"
"CVE-2018-12520","CWE-335","An issue was discovered in ntopng 3.4 before 3.4.180617. The PRNG involved in the generation of session IDs is not seeded at program startup. This results in deterministic session IDs being allocated for active user sessions. An attacker with foreknowledge of the operating system and standard library in use by the host running the service and the username of the user whose session they're targeting can abuse the deterministic random number generation in order to hijack the user's session, thus escalating their access.","Product's PRNG is not seeded for the generation of session IDs"
"CVE-2016-10180","CWE-335","An issue was discovered on the D-Link DWR-932B router. WPS PIN generation is based on srand(time(0)) seeding.","Router's PIN generation is based on rand(time(0)) seeding."
"CVE-2022-39218","CWE-336","The JS Compute Runtime for Fastly's Compute@Edge platform provides the environment JavaScript is executed in when using the Compute@Edge JavaScript SDK. In versions prior to 0.5.3, the `Math.random` and `crypto.getRandomValues` methods fail to use sufficiently random values. The initial value to seed the PRNG (pseudorandom number generator) is baked-in to the final WebAssembly module, making the sequence of random values for that specific WebAssembly module predictable. An attacker can use the fixed seed to predict random numbers generated by these functions and bypass cryptographic security controls, for example to disclose sensitive data encrypted by functions that use these generators. The problem has been patched in version 0.5.3. No known workarounds exist.","SDK for JavaScript app builder for serverless code uses the same fixed seed for a PRNG, allowing cryptography bypass"
"CVE-2020-7010","CWE-337","Elastic Cloud on Kubernetes (ECK) versions prior to 1.1.0 generate passwords using a weak random number generator. If an attacker is able to determine when the current Elastic Stack cluster was deployed they may be able to more easily brute force the Elasticsearch credentials generated by ECK.","Cloud application on Kubernetes generates passwords using a weak random number generator based on deployment time."
"CVE-2019-11495","CWE-337","In Couchbase Server 5.1.1, the cookie used for intra-node communication was not generated securely. Couchbase Server uses erlang:now() to seed the PRNG which results in a small search space for potential random seeds that could then be used to brute force the cookie and execute code against a remote system. This has been fixed in version 6.0.0.","server uses erlang:now() to seed the PRNG, which results in a small search space for potential random seeds"
"CVE-2008-0166","CWE-337","OpenSSL 0.9.8c-1 up to versions before 0.9.8g-9 on Debian-based operating systems uses a random number generator that generates predictable numbers, which makes it easier for remote attackers to conduct brute force guessing attacks against cryptographic keys.","The removal of a couple lines of code caused Debian's OpenSSL Package to only use the current process ID for seeding a PRNG"
"CVE-2016-10180","CWE-337","An issue was discovered on the D-Link DWR-932B router. WPS PIN generation is based on srand(time(0)) seeding.","Router's PIN generation is based on rand(time(0)) seeding."
"CVE-2018-9057","CWE-337","aws/resource_aws_iam_user_login_profile.go in the HashiCorp Terraform Amazon Web Services (AWS) provider through v1.12.0 has an inappropriate PRNG algorithm and seeding, which makes it easier for remote attackers to obtain access by leveraging an IAM account that was provisioned with a weak password.","cloud provider product uses a non-cryptographically secure PRNG and seeds it with the current time"
"CVE-2021-3692","CWE-338","yii2 is vulnerable to Use of Predictable Algorithm in Random Number Generator","PHP framework uses mt_rand() function (Marsenne Twister) when generating tokens"
"CVE-2009-3278","CWE-338","The QNAP TS-239 Pro and TS-639 Pro with firmware 2.1.7 0613, 3.1.0 0627, and 3.1.1 0815 use the rand library function to generate a certain recovery key, which makes it easier for local users to determine this key via a brute-force attack.","Crypto product uses rand() library function to generate a recovery key, making it easier to conduct brute force attacks."
"CVE-2009-3238","CWE-338","The get_random_int function in drivers/char/random.c in the Linux kernel before 2.6.30 produces insufficiently random numbers, which allows attackers to predict the return value, and possibly defeat protection mechanisms based on randomization, via vectors that leverage the function's tendency to ""return the same value over and over again for long stretches of time.""","Random number generator can repeatedly generate the same value."
"CVE-2009-2367","CWE-338","cgi-bin/makecgi-pro in Iomega StorCenter Pro generates predictable session IDs, which allows remote attackers to hijack active sessions and gain privileges via brute force guessing attacks on the session_id parameter.","Web application generates predictable session IDs, allowing session hijacking."
"CVE-2008-0166","CWE-338","OpenSSL 0.9.8c-1 up to versions before 0.9.8g-9 on Debian-based operating systems uses a random number generator that generates predictable numbers, which makes it easier for remote attackers to conduct brute force guessing attacks against cryptographic keys.","SSL library uses a weak random number generator that only generates 65,536 unique keys."
"CVE-2019-10908","CWE-339","In Airsonic 10.2.1, RecoverController.java generates passwords via org.apache.commons.lang.RandomStringUtils, which uses java.util.Random internally. This PRNG has a 48-bit seed that can easily be bruteforced, leading to trivial privilege escalation attacks.","product generates passwords via org.apache.commons.lang.RandomStringUtils, which uses java.util.Random internally. This PRNG has only a 48-bit seed."
"CVE-2004-1670","CWE-34","Multiple directory traversal vulnerabilities Merak Mail Server 7.4.5 with Icewarp Web Mail 5.2.7, and possibly other versions, allow remote attackers to (1) create arbitrary directories via a .. (dot dot) in the user parameter to viewaction.html or (2) rename arbitrary files via a ....// (doubled dot dot) in the folderold or folder parameters to folders.html.","Mail server allows remote attackers to create arbitrary directories via a "".."" or rename arbitrary files via a ""....//"" in user supplied parameters."
"CVE-2022-29330","CWE-340","Missing access control in the backup system of Telesoft VitalPBX before 3.2.1 allows attackers to access the PJSIP and SIP extension credentials, cryptographic keys and voicemails files via unspecified vectors.","Product for administering PBX systems uses predictable identifiers and timestamps for filenames (CWE-340) which allows attackers to access files via direct request (CWE-425)."
"CVE-2001-1141","CWE-340","The Pseudo-Random Number Generator (PRNG) in SSLeay and OpenSSL before 0.9.6b allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers.","PRNG allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers."
"CVE-1999-0074","CWE-340","Listening TCP ports are sequentially allocated, allowing spoofing attacks.","Listening TCP ports are sequentially allocated, allowing spoofing attacks."
"CVE-2002-0389","CWE-341","Pipermail in Mailman stores private mail messages with predictable filenames in a world-executable directory, which allows local users to read private mailing list archives.","Mail server stores private mail messages with predictable filenames in a world-executable directory, which allows local users to read private mailing list archives."
"CVE-2001-1141","CWE-341","The Pseudo-Random Number Generator (PRNG) in SSLeay and OpenSSL before 0.9.6b allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers.","PRNG allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers."
"CVE-2000-0335","CWE-341","The resolver in glibc 2.1.3 uses predictable IDs, which allows a local attacker to spoof DNS query results.","DNS resolver library uses predictable IDs, which allows a local attacker to spoof DNS query results."
"CVE-2005-1636","CWE-341","mysql_install_db in MySQL 4.1.x before 4.1.12 and 5.x up to 5.0.4 creates the mysql_install_db.X file with a predictable filename and insecure permissions, which allows local users to execute arbitrary SQL commands by modifying the file's contents.","MFV. predictable filename and insecure permissions allows file modification to execute SQL queries."
"CVE-2002-1463","CWE-342","Symantec Raptor Firewall 6.5 and 6.5.3, Enterprise Firewall 6.5.2 and 7.0, VelociRaptor Models 500/700/1000 and 1100/1200/1300, and Gateway Security 5110/5200/5300 generate easily predictable initial sequence numbers (ISN), which allows remote attackers to spoof connections.","Firewall generates easily predictable initial sequence numbers (ISN), which allows remote attackers to spoof connections."
"CVE-1999-0074","CWE-342","Listening TCP ports are sequentially allocated, allowing spoofing attacks.","Listening TCP ports are sequentially allocated, allowing spoofing attacks."
"CVE-1999-0077","CWE-342","Predictable TCP sequence numbers allow spoofing.","Predictable TCP sequence numbers allow spoofing."
"CVE-2000-0335","CWE-342","The resolver in glibc 2.1.3 uses predictable IDs, which allows a local attacker to spoof DNS query results.","DNS resolver uses predictable IDs, allowing a local user to spoof DNS query results."
"CVE-2002-0980","CWE-344","The Web Folder component for Internet Explorer 5.5 and 6.0 writes an error message to a known location in the temporary folder, which allows remote attackers to execute arbitrary code by injecting it into the error message, then referring to the error message file via a mhtml: URL.","Component for web browser writes an error message to a known location, which can then be referenced by attackers to process HTML/script in a less restrictive context"
"CVE-2022-30260","CWE-345","Emerson DeltaV Distributed Control System (DCS) has insufficient verification of firmware integrity (an inadequate checksum approach, and no signature). This affects versions before 14.3 of DeltaV M-series, DeltaV S-series, DeltaV P-series, DeltaV SIS, and DeltaV CIOC/EIOC/WIOC IO cards.","Distributed Control System (DCS) does not sign firmware images and only relies on insecure checksums for integrity checks"
"CVE-2022-30267","CWE-345","","Distributed Control System (DCS) does not sign firmware images and only relies on insecure checksums for integrity checks"
"CVE-2022-30272","CWE-345","The Motorola ACE1000 RTU through 2022-05-02 mishandles firmware integrity. It utilizes either the STS software suite or ACE1000 Easy Configurator for performing firmware updates. In case of the Easy Configurator, firmware updates are performed through access to the Web UI where file system, kernel, package, bundle, or application images can be installed. Firmware updates for the Front End Processor (FEP) module are performed via access to the SSH interface (22/TCP), where a .hex file image is transferred and a bootloader script invoked. File system, kernel, package, and bundle updates are supplied as RPM (RPM Package Manager) files while FEP updates are supplied as S-rec files. In all cases, firmware images were found to have no authentication (in the form of firmware signing) and only relied on insecure checksums for regular integrity checks.","Remote Terminal Unit (RTU) does not use signatures for firmware images and relies on insecure checksums"
"CVE-2000-1218","CWE-346","The default configuration for the domain name resolver for Microsoft Windows 98, NT 4.0, 2000, and XP sets the QueryIpMatching parameter to 0, which causes Windows to accept DNS updates from hosts that it did not query, which allows remote attackers to poison the DNS cache.","DNS server can accept DNS updates from hosts that it did not query, leading to cache poisoning"
"CVE-2005-0877","CWE-346","Dnsmasq before 2.21 allows remote attackers to poison the DNS cache via answers to queries that were not made by Dnsmasq.","DNS server can accept DNS updates from hosts that it did not query, leading to cache poisoning"
"CVE-2001-1452","CWE-346","By default, DNS servers on Windows NT 4.0 and Windows 2000 Server cache glue records received from non-delegated name servers, which allows remote attackers to poison the DNS cache via spoofed DNS responses.","DNS server caches glue records received from non-delegated name servers"
"CVE-2005-2188","CWE-346","McAfee IntruShield Security Management System obtains the user ID from the URL, which allows remote attackers to guess the Manager account and possibly gain privileges via a brute force attack.","user ID obtained from untrusted source (URL)"
"CVE-2003-0174","CWE-346","The LDAP name service (nsd) in IRIX 6.5.19 and earlier does not properly verify if the USERPASSWORD attribute has been provided by an LDAP server, which could allow attackers to log in without a password.","LDAP service does not verify if a particular attribute was set by the LDAP server"
"CVE-1999-1549","CWE-346","Lynx 2.x does not properly distinguish between internal and external HTML, which may allow a local attacker to read a ""secure"" hidden form value from a temporary file and craft a LYNXOPTIONS: URL that causes Lynx to modify the user's configuration file and execute commands.","product does not sufficiently distinguish external HTML from internal, potentially dangerous HTML, allowing bypass using special strings in the page title. Overlaps special elements."
"CVE-2003-0981","CWE-346","FreeScripts VisitorBook LE (visitorbook.pl) logs the reverse DNS name of a visiting host, which allows remote attackers to spoof the origin of their incoming requests and facilitate cross-site scripting (XSS) attacks.","product records the reverse DNS name of a visitor in the logs, allowing spoofing and resultant XSS."
